% =====================================================
% Base Sintética: Emoções no Clash Royale (200 instâncias)
% =====================================================
% Atributos:
% 1. vitorias_consecutivas (0–5) -> número de vitórias seguidas
% 2. cartas_nivel_medio (8–15) -> média do nível das cartas do jogador
% 3. tempo_partida_min (2.0–5.0) -> duração média da partida em minutos
% 4. torres_destruidas (0–3) -> torres inimigas destruídas
% 5. torres_perdidas (0–3) -> torres próprias destruídas
% 6. trofeus_delta (−40 a +40) -> variação de troféus na partida
% 7. emocao_jogador {feliz,motivado,neutro,frustrado} -> classe-alvo
% -----------------------------------------------------
% Regras da Classe-Alvo (mutuamente exclusivas):
% feliz: dif_torres≥+2 e trofeus_delta≥+25 e torres_perdidas≤1 e vitorias_consecutivas≥2
% motivado: dif_torres=+1 e trofeus_delta∈[+12,+24] e (torres_destruidas≥2 ou vitorias_consecutivas≥1)
% neutro: (dif_torres=+1 e trofeus_delta∈[+3,+11]) ou (dif_torres=−1 e trofeus_delta∈[−9,−1])
% frustrado: dif_torres≤−2 ou torres_perdidas=3 ou trofeus_delta≤−10
% =====================================================

@relation emocao_jogador_clashroyale_v2

@attribute vitorias_consecutivas numeric
@attribute cartas_nivel_medio numeric
@attribute tempo_partida_min numeric
@attribute torres_destruidas numeric
@attribute torres_perdidas numeric
@attribute trofeus_delta numeric
@attribute emocao_jogador {feliz,motivado,neutro,frustrado}

@data
1,13,4.3,1,2,-1,neutro
2,12,2.61,1,3,-39,frustrado
2,12,4.05,2,1,15,motivado
3,15,3.38,3,0,36,feliz
3,14,2.62,2,1,21,motivado
2,14,4.46,2,1,20,motivado
4,15,3.34,2,0,33,feliz
2,9,3.97,0,3,-19,frustrado
3,12,4.35,3,2,23,motivado
1,12,3.83,0,2,-23,frustrado
3,13,3.16,1,0,9,neutro
4,13,2.98,3,2,13,motivado
5,15,2.51,3,1,31,feliz
3,14,2.79,3,2,14,motivado
2,10,4.6,1,3,-18,frustrado
1,11,4.03,3,2,10,neutro
1,12,4.34,2,1,23,motivado
0,12,3.72,3,2,3,neutro
0,10,4.56,0,3,-29,frustrado
1,12,3.51,1,3,-20,frustrado
0,9,3.25,1,3,-38,frustrado
3,15,3.27,4,1,26,feliz
4,12,3.35,2,1,22,motivado
1,14,3.77,2,1,14,motivado
4,13,2.28,3,0,37,feliz
4,13,3.96,3,1,34,feliz
3,11,4.14,2,1,9,neutro
4,12,2.79,3,2,20,motivado
2,12,4.44,2,1,20,motivado
1,10,3.19,2,1,3,neutro
5,14,2.69,4,1,32,feliz
1,12,3.11,1,3,-23,frustrado
3,10,4.51,3,2,3,neutro
0,10,4.61,0,3,-15,frustrado
0,13,4.66,1,2,-4,neutro
1,13,3.12,3,2,23,motivado
0,10,3.59,2,3,-4,neutro
2,11,3.99,2,1,22,motivado
1,11,4.25,2,1,14,motivado
3,14,3.68,2,1,21,motivado
2,12,3.47,3,2,16,motivado
2,11,2.9,1,2,-30,frustrado
2,14,3.62,4,1,26,feliz
3,11,3.4,2,1,23,motivado
1,8,4.47,0,3,-30,frustrado
3,11,3.04,1,2,-2,neutro
2,12,2.26,3,1,28,feliz
0,8,3.79,1,3,-31,frustrado
2,11,2.66,3,2,20,motivado
4,12,3.05,4,1,40,feliz
1,12,4.99,1,4,-15,frustrado
4,13,4.18,2,1,13,motivado
3,12,3.23,4,1,33,feliz
3,12,3.13,2,1,21,motivado
1,12,4.3,2,1,23,motivado
4,12,3.32,2,1,15,motivado
3,14,2.41,3,0,34,feliz
5,13,2.96,3,1,38,feliz
